Alabama.2009.Population,Alabama.2009.Drivers,Alabama.2009.Vehicles,Alabama.2010.Population,Alabama.2010.Drivers,Alabama.2010.Vehicles,Arizona.2009.Population,Arizona.2009.Drivers,Arizona.2009.Vehicles,Arizona.2010.Population,Arizona.2010.Drivers,Arizona.2010.Vehicles
,3782284,4610850,4785514,3805751,4653840,,,,,,
,,,,,,,4403390,4357630,6407342,4443647,4320010
