State,2009.Population,2009.Drivers,2009.Vehicles,2010.Population,2010.Drivers,2010.Vehicles
Alabama,,3782284,4610850,4785514,3805751,4653840
Arizona,,4403390,4357630,6407342,4443647,4320010
