Year,ARR[0].State,ARR[0].Population,ARR[0].Drivers,ARR[0].Vehicles,ARR[1].State,ARR[1].Population,ARR[1].Drivers,ARR[1].Vehicles
2009,Alabama,,3782284,4610850,Arizona,,4403390,4357630
2010,Alabama,4785514,3805751,4653840,Arizona,6407342,4443647,4320010
