State,Year,Population,Drivers,Vehicles
Vermont,2011,627197,521666,605054
Virginia,2011,8102437,5467045,6998390
Washington,2011,6827479,5178789,5880790
West Virginia,2011,1856606,1198837,1458220
Wisconsin,2011,5705840,4147470,5244200
Wyoming,2011,567491,421928,798296
Alabama,2012,4816632,3827522,4844630
Alaska,2012,730810,526371,775245
Arizona,2012,6556344,4697579,5163010
Arkansas,2012,2952876,2199164,2479920
California,2012,37944551,24200997,27702150
Colorado,2012,5193660,3807673,4561900
Connecticut,2012,3595211,2485708,2706460
Delaware,2012,915518,720290,943642
District of Columbia,2012,635737,400993,322350
Florida,2012,19302016,13896581,15665990
Georgia,2012,9903580,6581534,7647000
Hawaii,2012,1395199,915033,1231740
Idaho,2012,1595910,1092977,1644230
Illinois,2012,12883029,8235745,10131880
Indiana,2012,6538989,5375973,6004370
Iowa,2012,3076844,2217304,3511050
Kansas,2012,2886024,2018029,2449230
Kentucky,2012,4387865,2985234,3670570
Louisiana,2012,4602067,2923744,3889420
Maine,2012,1328094,1008190,1180090
Maryland,2012,5888375,4102154,3982730
Massachusetts,2012,6664269,4733936,4949860
Michigan,2012,9898289,7018713,7798430
Minnesota,2012,5377500,3321760,5099010
Mississippi,2012,2984599,1957980,2052140
Missouri,2012,6026027,4288488,5684680
Montana,2012,1004168,757812,1488610
Nebraska,2012,1853691,1363596,1888480
Nevada,2012,2744670,1728060,2130330
New Hampshire,2012,1324677,1064604,1302440
New Jersey,2012,8845671,6039623,7911470
New Mexico,2012,2087715,1430475,1805790
New York,2012,19574362,11248617,10448740
North Carolina,2012,9751810,6677693,7792560
North Dakota,2012,702227,502807,810355
Ohio,2012,11550971,8006183,10116250
Oklahoma,2012,3819320,2400358,3439940
Oregon,2012,3900102,2769757,3527240
Pennsylvania,2012,12769123,8842587,10471410
Rhode Island,2012,1054893,749706,854359
South Carolina,2012,4719027,3455931,3896830
South Dakota,2012,833859,606779,1003570
Tennessee,2012,6455752,4573871,5392660
Texas,2012,26084120,15252192,20238120
Utah,2012,2854146,1788822,1981340
Vermont,2012,626361,529501,606941
Virginia,2012,8187456,5538480,7116790
Washington,2012,6898599,5227889,5849950
West Virginia,2012,1857446,1241586,1458800
Wisconsin,2012,5720825,4056649,5215290
Wyoming,2012,576656,421580,799405
Alabama,2013,4831586,3859403,4787220
Alaska,2013,737626,528873,785825
Arizona,2013,6634690,4791450,5381050
Arkansas,2013,2960459,2097201,2417960
California,2013,38253768,24390236,28074980
Colorado,2013,5270774,3837488,4683410
Connecticut,2013,3595792,2534090,2855540
Delaware,2013,924062,723657,947442
District of Columbia,2013,651559,405555,332773
Florida,2013,19551678,13670441,15131740
Georgia,2013,9975592,6607016,7780350
Hawaii,2013,1408822,915033,1334690
Idaho,2013,1612053,1111485,1692460
Illinois,2013,12895778,8261582,10193440
Indiana,2013,6570575,4500403,5574030
Iowa,2013,3093935,2143665,3540760
Kansas,2013,2894306,2017759,2627850
Kentucky,2013,4406906,3019283,4031750
Louisiana,2013,4626040,3278143,3957170
Maine,2013,1328543,1011385,1199130
Maryland,2013,5925197,4140105,3833530
Massachusetts,2013,6715158,4765586,4985450
Michigan,2013,9914802,6986587,8192370
Minnesota,2013,5414722,3330725,5219490
Mississippi,2013,2989839,1968907,2073540
Missouri,2013,6042989,4280438,5820660
Montana,2013,1014158,766716,1539930
Nebraska,2013,1865813,1374529,1891250
Nevada,2013,2776956,1756095,2203100
New Hampshire,2013,1327272,1061433,1408940
New Jersey,2013,8857821,6081386,7061340
New Mexico,2013,2092833,1456500,1882470
