State,Years[0].2009.Population,Years[0].2009.Drivers,Years[0].2009.Vehicles,Years[1].2010.Population,Years[1].2010.Drivers,Years[1].2010.Vehicles
Alabama,,3782284,4610850,4785514,3805751,4653840
Arizona,,4403390,4357630,6407342,4443647,4320010
