State,Years[0][0],Years[0][1].Population,Years[0][1].Drivers,Years[0][1].Vehicles,Years[1][0],Years[1][1].Population,Years[1][1].Drivers,Years[1][1].Vehicles
Alabama,2009,,3782284,4610850,2010,4785514,3805751,4653840
Arizona,2009,,4403390,4357630,2010,6407342,4443647,4320010
