Year,Alabama.Population,Alabama.Drivers,Alabama.Vehicles,Arizona.Population,Arizona.Drivers,Arizona.Vehicles
2009,,3782284,4610850,,4403390,4357630
2010,4785514,3805751,4653840,6407342,4443647,4320010
