Year,States[0].State,States[0].Data.Population,States[0].Data.Drivers,States[0].Data.Vehicles,States[1].State,States[1].Data.Population,States[1].Data.Drivers,States[1].Data.Vehicles
2009,Alabama,,3782284,4610850,Arizona,,4403390,4357630
2010,Alabama,4785514,3805751,4653840,Arizona,6407342,4443647,4320010
