Year,States[0].Alabama.Population,States[0].Alabama.Drivers,States[0].Alabama.Vehicles,States[1].Arizona.Population,States[1].Arizona.Drivers,States[1].Arizona.Vehicles
2009,,3782284,4610850,,4403390,4357630
2010,4785514,3805751,4653840,6407342,4443647,4320010
