State,ARR[0].Year,ARR[0].OBJ.Population,ARR[0].OBJ.Drivers,ARR[0].OBJ.Vehicles,ARR[1].Year,ARR[1].OBJ.Population,ARR[1].OBJ.Drivers,ARR[1].OBJ.Vehicles
Alabama,2009,,3782284,4610850,2010,4785514,3805751,4653840
Arizona,2009,,4403390,4357630,2010,6407342,4443647,4320010
