Year,ARR[0].State,ARR[0].OBJ.Population,ARR[0].OBJ.Drivers,ARR[0].OBJ.Vehicles,ARR[1].State,ARR[1].OBJ.Population,ARR[1].OBJ.Drivers,ARR[1].OBJ.Vehicles
2009,Alabama,,3782284,4610850,Arizona,,4403390,4357630
2010,Alabama,4785514,3805751,4653840,Arizona,6407342,4443647,4320010
