Year,States[0][0],States[0][1].Population,States[0][1].Drivers,States[0][1].Vehicles,States[1][0],States[1][1].Population,States[1][1].Drivers,States[1][1].Vehicles
2009,Alabama,,3782284,4610850,Arizona,,4403390,4357630
2010,Alabama,4785514,3805751,4653840,Arizona,6407342,4443647,4320010
